Zip_Code,County
501,Suffolk
544,Suffolk
6390,Suffolk
10001,New York
10002,New York
10003,New York
10004,New York
10005,New York
10006,New York
10007,New York
10008,New York
10009,New York
10010,New York
10011,New York
10012,New York
10013,New York
10014,New York
10015,New York
10016,New York
10017,New York
10018,New York
10019,New York
10020,New York
10021,New York
10022,New York
10023,New York
10024,New York
10025,New York
10026,New York
10027,New York
10028,New York
10029,New York
10030,New York
10031,New York
10032,New York
10033,New York
10034,New York
10035,New York
10036,New York
10037,New York
10038,New York
10039,New York
10040,New York
10041,New York
10043,New York
10044,New York
10045,New York
10046,New York
10047,New York
10048,New York
10055,New York
10060,New York
10069,New York
10072,New York
10079,New York
10080,New York
10081,New York
10082,New York
10087,New York
10090,New York
10094,New York
10095,New York
10096,New York
10098,New York
10099,New York
10101,New York
10102,New York
10103,New York
10104,New York
10105,New York
10106,New York
10107,New York
10108,New York
10109,New York
10110,New York
10111,New York
10112,New York
10113,New York
10114,New York
10115,New York
10116,New York
10117,New York
10118,New York
10119,New York
10120,New York
10121,New York
10122,New York
10123,New York
10124,New York
10125,New York
10126,New York
10128,New York
10129,New York
10130,New York
10131,New York
10132,New York
10133,New York
10138,New York
10149,New York
10150,New York
10151,New York
10152,New York
10153,New York
10154,New York
10155,New York
10156,New York
10157,New York
10158,New York
10159,New York
10160,New York
10161,New York
10162,New York
10163,New York
10164,New York
10165,New York
10166,New York
10167,New York
10168,New York
10169,New York
10170,New York
10171,New York
10172,New York
10173,New York
10174,New York
10175,New York
10176,New York
10177,New York
10178,New York
10179,New York
10184,New York
10185,New York
10196,New York
10197,New York
10199,New York
10203,New York
10211,New York
10212,New York
10213,New York
10242,New York
10249,New York
10256,New York
10257,New York
10258,New York
10259,New York
10260,New York
10261,New York
10265,New York
10268,New York
10269,New York
10270,New York
10271,New York
10272,New York
10273,New York
10274,New York
10275,New York
10276,New York
10277,New York
10278,New York
10279,New York
10280,New York
10281,New York
10282,New York
10285,New York
10286,New York
10292,New York
10301,Richmond
10302,Richmond
10303,Richmond
10304,Richmond
10305,Richmond
10306,Richmond
10307,Richmond
10308,Richmond
10309,Richmond
10310,Richmond
10311,Richmond
10312,Richmond
10313,Richmond
10314,Richmond
10451,Bronx
10452,Bronx
10453,Bronx
10454,Bronx
10455,Bronx
10456,Bronx
10457,Bronx
10458,Bronx
10459,Bronx
10460,Bronx
10461,Bronx
10462,Bronx
10463,Bronx
10464,Bronx
10465,Bronx
10466,Bronx
10467,Bronx
10468,Bronx
10469,Bronx
10470,Bronx
10471,Bronx
10472,Bronx
10473,Bronx
10474,Bronx
10475,Bronx
10499,Bronx
10501,Westchester
10502,Westchester
10503,Westchester
10504,Westchester
10505,Westchester
10506,Westchester
10507,Westchester
10509,Putnam
10510,Westchester
10511,Westchester
10512,Putnam
10514,Westchester
10516,Putnam
10517,Westchester
10518,Westchester
10519,Westchester
10520,Westchester
10521,Westchester
10522,Westchester
10523,Westchester
10524,Putnam
10526,Westchester
10527,Westchester
10528,Westchester
10530,Westchester
10532,Westchester
10533,Westchester
10535,Westchester
10536,Westchester
10537,Putnam
10538,Westchester
10540,Westchester
10541,Putnam
10542,Putnam
10543,Westchester
10545,Westchester
10546,Westchester
10547,Westchester
10548,Westchester
10549,Westchester
10550,Westchester
10551,Westchester
10552,Westchester
10553,Westchester
10557,Westchester
10558,Westchester
10560,Westchester
10562,Westchester
10566,Westchester
10567,Westchester
10570,Westchester
10571,Westchester
10572,Westchester
10573,Westchester
10576,Westchester
10577,Westchester
10578,Westchester
10579,Putnam
10580,Westchester
10583,Westchester
10587,Westchester
10588,Westchester
10589,Westchester
10590,Westchester
10591,Westchester
10594,Westchester
10595,Westchester
10596,Westchester
10597,Westchester
10598,Westchester
10601,Westchester
10602,Westchester
10603,Westchester
10604,Westchester
10605,Westchester
10606,Westchester
10607,Westchester
10610,Westchester
10701,Westchester
10702,Westchester
10703,Westchester
10704,Westchester
10705,Westchester
10706,Westchester
10707,Westchester
10708,Westchester
10709,Westchester
10710,Westchester
10801,Westchester
10802,Westchester
10803,Westchester
10804,Westchester
10805,Westchester
10901,Rockland
10910,Orange
10911,Rockland
10912,Orange
10913,Rockland
10914,Orange
10915,Orange
10916,Orange
10917,Orange
10918,Orange
10919,Orange
10920,Rockland
10921,Orange
10922,Orange
10923,Rockland
10924,Orange
10925,Orange
10926,Orange
10927,Rockland
10928,Orange
10930,Orange
10931,Rockland
10932,Orange
10933,Orange
10940,Orange
10941,Orange
10943,Orange
10949,Orange
10950,Orange
10952,Rockland
10953,Orange
10954,Rockland
10956,Rockland
10958,Orange
10959,Orange
10960,Rockland
10962,Rockland
10963,Orange
10964,Rockland
10965,Rockland
10968,Rockland
10969,Orange
10970,Rockland
10973,Orange
10974,Rockland
10975,Orange
10976,Rockland
10977,Rockland
10979,Orange
10980,Rockland
10981,Orange
10982,Rockland
10983,Rockland
10984,Rockland
10985,Orange
10986,Rockland
10987,Orange
10988,Orange
10989,Rockland
10990,Orange
10992,Orange
10993,Rockland
10994,Rockland
10996,Orange
10997,Orange
10998,Orange
11001,Nassau
11002,Nassau
11003,Nassau
11004,Queens
11005,Queens
11010,Nassau
11020,Nassau
11021,Nassau
11022,Nassau
11023,Nassau
11024,Nassau
11025,Nassau
11026,Nassau
11027,Nassau
11030,Nassau
11040,Nassau
11041,Nassau
11042,Nassau
11043,Nassau
11044,Nassau
11050,Nassau
11051,Nassau
11052,Nassau
11053,Nassau
11054,Nassau
11055,Nassau
11096,Nassau
11099,Nassau
11101,Queens
11102,Queens
11103,Queens
11104,Queens
11105,Queens
11106,Queens
11109,Queens
11120,Queens
11201,Kings
11202,Kings
11203,Kings
11204,Kings
11205,Kings
11206,Kings
11207,Kings
11208,Kings
11209,Kings
11210,Kings
11211,Kings
11212,Kings
11213,Kings
11214,Kings
11215,Kings
11216,Kings
11217,Kings
11218,Kings
11219,Kings
11220,Kings
11221,Kings
11222,Kings
11223,Kings
11224,Kings
11225,Kings
11226,Kings
11228,Kings
11229,Kings
11230,Kings
11231,Kings
11232,Kings
11233,Kings
11234,Kings
11235,Kings
11236,Kings
11237,Kings
11238,Kings
11239,Kings
11240,Kings
11241,Kings
11242,Kings
11243,Kings
11244,Kings
11245,Kings
11247,Kings
11248,Kings
11249,Kings
11251,Kings
11252,Kings
11254,Kings
11255,Kings
11256,Kings
11351,Queens
11352,Queens
11354,Queens
11355,Queens
11356,Queens
11357,Queens
11358,Queens
11359,Queens
11360,Queens
11361,Queens
11362,Queens
11363,Queens
11364,Queens
11365,Queens
11366,Queens
11367,Queens
11368,Queens
11369,Queens
11370,Queens
11371,Queens
11372,Queens
11373,Queens
11374,Queens
11375,Queens
11377,Queens
11378,Queens
11379,Queens
11380,Queens
11381,Queens
11385,Queens
11386,Queens
11390,Queens
11405,Queens
11411,Queens
11412,Queens
11413,Queens
11414,Queens
11415,Queens
11416,Queens
11417,Queens
11418,Queens
11419,Queens
11420,Queens
11421,Queens
11422,Queens
11423,Queens
11424,Queens
11425,Queens
11426,Queens
11427,Queens
11428,Queens
11429,Queens
11430,Queens
11431,Queens
11432,Queens
11433,Queens
11434,Queens
11435,Queens
11436,Queens
11439,Queens
11451,Queens
11499,Queens
11501,Nassau
11507,Nassau
11509,Nassau
11510,Nassau
11514,Nassau
11516,Nassau
11518,Nassau
11520,Nassau
11530,Nassau
11531,Nassau
11535,Nassau
11536,Nassau
11542,Nassau
11545,Nassau
11547,Nassau
11548,Nassau
11549,Nassau
11550,Nassau
11551,Nassau
11552,Nassau
11553,Nassau
11554,Nassau
11555,Nassau
11556,Nassau
11557,Nassau
11558,Nassau
11559,Nassau
11560,Nassau
11561,Nassau
11563,Nassau
11565,Nassau
11566,Nassau
11568,Nassau
11569,Nassau
11570,Nassau
11571,Nassau
11572,Nassau
11575,Nassau
11576,Nassau
11577,Nassau
11579,Nassau
11580,Nassau
11581,Nassau
11582,Nassau
11590,Nassau
11592,Nassau
11594,Nassau
11595,Nassau
11596,Nassau
11597,Nassau
11598,Nassau
11599,Nassau
11690,Queens
11691,Queens
11692,Queens
11693,Queens
11694,Queens
11695,Queens
11697,Queens
11701,Suffolk
11702,Suffolk
11703,Suffolk
11704,Suffolk
11705,Suffolk
11706,Suffolk
11707,Suffolk
11708,Suffolk
11709,Nassau
11710,Nassau
11713,Suffolk
11714,Nassau
11715,Suffolk
11716,Suffolk
11717,Suffolk
11718,Suffolk
11719,Suffolk
11720,Suffolk
11721,Suffolk
11722,Suffolk
11724,Suffolk
11725,Suffolk
11726,Suffolk
11727,Suffolk
11729,Suffolk
11730,Suffolk
11731,Suffolk
11732,Nassau
11733,Suffolk
11735,Nassau
11736,Nassau
11737,Nassau
11738,Suffolk
11739,Suffolk
11740,Suffolk
11741,Suffolk
11742,Suffolk
11743,Suffolk
11746,Suffolk
11747,Suffolk
11749,Suffolk
11750,Suffolk
11751,Suffolk
11752,Suffolk
11753,Nassau
11754,Suffolk
11755,Suffolk
11756,Nassau
11757,Suffolk
11758,Nassau
11760,Suffolk
11762,Nassau
11763,Suffolk
11764,Suffolk
11765,Nassau
11766,Suffolk
11767,Suffolk
11768,Suffolk
11769,Suffolk
11770,Suffolk
11771,Nassau
11772,Suffolk
11773,Nassau
11774,Nassau
11775,Suffolk
11776,Suffolk
11777,Suffolk
11778,Suffolk
11779,Suffolk
11780,Suffolk
11782,Suffolk
11783,Nassau
11784,Suffolk
11786,Suffolk
11787,Suffolk
11788,Suffolk
11789,Suffolk
11790,Suffolk
11791,Nassau
11792,Suffolk
11793,Nassau
11794,Suffolk
11795,Suffolk
11796,Suffolk
11797,Nassau
11798,Suffolk
11801,Nassau
11802,Nassau
11803,Nassau
11804,Nassau
11815,Nassau
11819,Nassau
11853,Nassau
11854,Nassau
11855,Nassau
11901,Suffolk
11930,Suffolk
11931,Suffolk
11932,Suffolk
11933,Suffolk
11934,Suffolk
11935,Suffolk
11937,Suffolk
11939,Suffolk
11940,Suffolk
11941,Suffolk
11942,Suffolk
11944,Suffolk
11946,Suffolk
11947,Suffolk
11948,Suffolk
11949,Suffolk
11950,Suffolk
11951,Suffolk
11952,Suffolk
11953,Suffolk
11954,Suffolk
11955,Suffolk
11956,Suffolk
11957,Suffolk
11958,Suffolk
11959,Suffolk
11960,Suffolk
11961,Suffolk
11962,Suffolk
11963,Suffolk
11964,Suffolk
11965,Suffolk
11967,Suffolk
11968,Suffolk
11969,Suffolk
11970,Suffolk
11971,Suffolk
11972,Suffolk
11973,Suffolk
11975,Suffolk
11976,Suffolk
11977,Suffolk
11978,Suffolk
11980,Suffolk
12007,Albany
12008,Schenectady
12009,Albany
12010,Montgomery
12015,Greene
12016,Montgomery
12017,Columbia
12018,Rensselaer
12019,Saratoga
12020,Saratoga
12022,Rensselaer
12023,Albany
12024,Rensselaer
12025,Fulton
12027,Saratoga
12028,Rensselaer
12029,Columbia
12031,Schoharie
12032,Fulton
12033,Rensselaer
12035,Schoharie
12036,Schoharie
12037,Columbia
12040,Rensselaer
12041,Albany
12042,Greene
12043,Schoharie
12045,Albany
12046,Albany
12047,Albany
12050,Columbia
12051,Greene
12052,Rensselaer
12053,Schenectady
12054,Albany
12055,Albany
12056,Schenectady
12057,Rensselaer
12058,Greene
12059,Albany
12060,Columbia
12061,Rensselaer
12062,Rensselaer
12063,Rensselaer
12064,Otsego
12065,Saratoga
12066,Montgomery
12067,Albany
12068,Montgomery
12069,Montgomery
12070,Montgomery
12071,Schoharie
12072,Montgomery
12073,Schoharie
12074,Saratoga
12075,Columbia
12076,Schoharie
12077,Albany
12078,Fulton
12082,Rensselaer
12083,Greene
12084,Albany
12085,Albany
12086,Montgomery
12087,Greene
12089,Rensselaer
12090,Rensselaer
12092,Schoharie
12093,Schoharie
12094,Rensselaer
12095,Fulton
12106,Columbia
12107,Albany
12108,Hamilton
12110,Albany
12115,Columbia
12116,Otsego
12117,Fulton
12118,Saratoga
12120,Albany
12121,Rensselaer
12122,Schoharie
12123,Rensselaer
12124,Greene
12125,Columbia
12128,Albany
12130,Columbia
12131,Schoharie
12132,Columbia
12133,Rensselaer
12134,Fulton
12136,Columbia
12137,Schenectady
12138,Rensselaer
12139,Hamilton
12140,Rensselaer
12141,Schenectady
12143,Albany
12144,Rensselaer
12147,Albany
12148,Saratoga
12149,Schoharie
12150,Schenectady
12151,Saratoga
12153,Rensselaer
12154,Rensselaer
12155,Otsego
12156,Rensselaer
12157,Schoharie
12158,Albany
12159,Albany
12160,Schoharie
12161,Albany
12164,Hamilton
12165,Columbia
12166,Montgomery
12167,Delaware
12168,Rensselaer
12169,Rensselaer
12170,Saratoga
12172,Columbia
12173,Columbia
12174,Columbia
12175,Schoharie
12176,Greene
12177,Montgomery
12180,Rensselaer
12181,Rensselaer
12182,Rensselaer
12183,Albany
12184,Columbia
12185,Rensselaer
12186,Albany
12187,Schoharie
12188,Saratoga
12189,Albany
12190,Hamilton
12192,Greene
12193,Albany
12194,Schoharie
12195,Columbia
12196,Rensselaer
12197,Otsego
12198,Rensselaer
12201,Albany
12202,Albany
12203,Albany
12204,Albany
12205,Albany
12206,Albany
12207,Albany
12208,Albany
12209,Albany
12210,Albany
12211,Albany
12212,Albany
12214,Albany
12220,Albany
12222,Albany
12223,Albany
12224,Albany
12225,Albany
12226,Albany
12227,Albany
12228,Albany
12229,Albany
12230,Albany
12231,Albany
12232,Albany
12233,Albany
12234,Albany
12235,Albany
12236,Albany
12237,Albany
12238,Albany
12239,Albany
12240,Albany
12241,Albany
12242,Albany
12243,Albany
12244,Albany
12245,Albany
12246,Albany
12247,Albany
12248,Albany
12249,Albany
12250,Albany
12252,Albany
12255,Albany
12256,Albany
12257,Albany
12260,Albany
12261,Albany
12288,Albany
12301,Schenectady
12302,Schenectady
12303,Schenectady
12304,Schenectady
12305,Schenectady
12306,Schenectady
12307,Schenectady
12308,Schenectady
12309,Schenectady
12325,Schenectady
12345,Schenectady
12401,Ulster
12402,Ulster
12404,Ulster
12405,Greene
12406,Delaware
12407,Greene
12409,Ulster
12410,Ulster
12411,Ulster
12412,Ulster
12413,Greene
12414,Greene
12416,Ulster
12417,Ulster
12418,Greene
12419,Ulster
12420,Ulster
12421,Delaware
12422,Greene
12423,Greene
12424,Greene
12427,Greene
12428,Ulster
12429,Ulster
12430,Delaware
12431,Greene
12432,Ulster
12433,Ulster
12434,Delaware
12435,Ulster
12436,Greene
12438,Delaware
12439,Greene
12440,Ulster
12441,Ulster
12442,Greene
12443,Ulster
12444,Greene
12446,Ulster
12448,Ulster
12449,Ulster
12450,Greene
12451,Greene
12452,Greene
12453,Ulster
12454,Greene
12455,Delaware
12456,Ulster
12457,Ulster
12458,Ulster
12459,Delaware
12460,Greene
12461,Ulster
12463,Greene
12464,Ulster
12465,Ulster
12466,Ulster
12468,Greene
12469,Albany
12470,Greene
12471,Ulster
12472,Ulster
12473,Greene
12474,Delaware
12475,Ulster
12477,Ulster
12480,Ulster
12481,Ulster
12482,Greene
12483,Ulster
12484,Ulster
12485,Greene
12486,Ulster
12487,Ulster
12489,Ulster
12490,Ulster
12491,Ulster
12492,Greene
12493,Ulster
12494,Ulster
12495,Ulster
12496,Greene
12498,Ulster
12501,Dutchess
12502,Columbia
12503,Columbia
12504,Dutchess
12506,Dutchess
12507,Dutchess
12508,Dutchess
12510,Dutchess
12511,Dutchess
12512,Dutchess
12513,Columbia
12514,Dutchess
12515,Ulster
12516,Columbia
12517,Columbia
12518,Orange
12520,Orange
12521,Columbia
12522,Dutchess
12523,Columbia
12524,Dutchess
12525,Ulster
12526,Columbia
12527,Dutchess
12528,Ulster
12529,Columbia
12530,Columbia
12531,Dutchess
12533,Dutchess
12534,Columbia
12537,Dutchess
12538,Dutchess
12540,Dutchess
12541,Columbia
12542,Ulster
12543,Orange
12544,Columbia
12545,Dutchess
12546,Dutchess
12547,Ulster
12548,Ulster
12549,Orange
12550,Orange
12551,Orange
12552,Orange
12553,Orange
12555,Orange
12561,Ulster
12563,Putnam
12564,Dutchess
12565,Columbia
12566,Orange
12567,Dutchess
12568,Ulster
12569,Dutchess
12570,Dutchess
12571,Dutchess
12572,Dutchess
12574,Dutchess
12575,Orange
12577,Orange
12578,Dutchess
12580,Dutchess
12581,Dutchess
12582,Dutchess
12583,Dutchess
12584,Orange
12585,Dutchess
12586,Orange
12588,Ulster
12589,Ulster
12590,Dutchess
12592,Dutchess
12593,Columbia
12594,Dutchess
12601,Dutchess
12602,Dutchess
12603,Dutchess
12604,Dutchess
12701,Sullivan
12719,Sullivan
12720,Sullivan
12721,Sullivan
12722,Sullivan
12723,Sullivan
12724,Sullivan
12725,Sullivan
12726,Sullivan
12727,Sullivan
12729,Orange
12732,Sullivan
12733,Sullivan
12734,Sullivan
12736,Sullivan
12737,Sullivan
12738,Sullivan
12740,Sullivan
12741,Sullivan
12742,Sullivan
12743,Sullivan
12745,Sullivan
12746,Orange
12747,Sullivan
12748,Sullivan
12749,Sullivan
12750,Sullivan
12751,Sullivan
12752,Sullivan
12754,Sullivan
12758,Sullivan
12759,Sullivan
12760,Sullivan
12762,Sullivan
12763,Sullivan
12764,Sullivan
12765,Sullivan
12766,Sullivan
12767,Sullivan
12768,Sullivan
12769,Sullivan
12770,Sullivan
12771,Orange
12775,Sullivan
12776,Sullivan
12777,Sullivan
12778,Sullivan
12779,Sullivan
12780,Orange
12781,Sullivan
12783,Sullivan
12784,Sullivan
12785,Sullivan
12786,Sullivan
12787,Sullivan
12788,Sullivan
12789,Sullivan
12790,Sullivan
12791,Sullivan
12792,Sullivan
12801,Warren
12803,Saratoga
12804,Warren
12808,Warren
12809,Washington
12810,Warren
12811,Warren
12812,Hamilton
12814,Warren
12815,Warren
12816,Washington
12817,Warren
12819,Washington
12820,Warren
12821,Washington
12822,Saratoga
12823,Washington
12824,Warren
12827,Washington
12828,Washington
12831,Saratoga
12832,Washington
12833,Saratoga
12834,Washington
12835,Saratoga
12836,Warren
12837,Washington
12838,Washington
12839,Washington
12841,Washington
12842,Hamilton
12843,Warren
12844,Warren
12845,Warren
12846,Warren
12847,Hamilton
12848,Washington
12849,Washington
12850,Saratoga
12851,Essex
12852,Essex
12853,Warren
12854,Washington
12855,Essex
12856,Warren
12857,Essex
12858,Essex
12859,Saratoga
12860,Warren
12861,Washington
12862,Warren
12863,Saratoga
12864,Hamilton
12865,Washington
12866,Saratoga
12870,Essex
12871,Saratoga
12872,Essex
12873,Washington
12874,Warren
12878,Warren
12879,Essex
12883,Essex
12884,Saratoga
12885,Warren
12886,Warren
12887,Washington
12901,Clinton
12903,Clinton
12910,Clinton
12911,Clinton
12912,Clinton
12913,Essex
12914,Franklin
12915,Franklin
12916,Franklin
12917,Franklin
12918,Clinton
12919,Clinton
12920,Franklin
12921,Clinton
12922,Saint Lawrence
12923,Clinton
12924,Clinton
12926,Franklin
12927,Saint Lawrence
12928,Essex
12929,Clinton
12930,Franklin
12932,Essex
12933,Clinton
12934,Clinton
12935,Clinton
12936,Essex
12937,Franklin
12939,Franklin
12941,Essex
12942,Essex
12943,Essex
12944,Clinton
12945,Franklin
12946,Essex
12949,Saint Lawrence
12950,Essex
12952,Clinton
12953,Franklin
12955,Clinton
12956,Essex
12957,Franklin
12958,Clinton
12959,Clinton
12960,Essex
12961,Essex
12962,Clinton
12964,Essex
12965,Saint Lawrence
12966,Franklin
12967,Saint Lawrence
12969,Franklin
12970,Franklin
12972,Clinton
12973,Saint Lawrence
12974,Essex
12975,Essex
12976,Franklin
12977,Essex
12978,Clinton
12979,Clinton
12980,Franklin
12981,Clinton
12983,Franklin
12985,Clinton
12986,Franklin
12987,Essex
12989,Franklin
12992,Clinton
12993,Essex
12995,Franklin
12996,Essex
12997,Essex
12998,Essex
13020,Onondaga
13021,Cayuga
13022,Cayuga
13024,Cayuga
13026,Cayuga
13027,Onondaga
13028,Oswego
13029,Onondaga
13030,Onondaga
13031,Onondaga
13032,Madison
13033,Cayuga
13034,Cayuga
13035,Madison
13036,Oswego
13037,Madison
13039,Onondaga
13040,Cortland
13041,Onondaga
13042,Oswego
13043,Madison
13044,Oswego
13045,Cortland
13051,Onondaga
13052,Madison
13053,Tompkins
13054,Oneida
13056,Cortland
13057,Onondaga
13060,Onondaga
13061,Madison
13062,Tompkins
13063,Onondaga
13064,Cayuga
13065,Seneca
13066,Onondaga
13068,Tompkins
13069,Oswego
13071,Cayuga
13072,Madison
13073,Tompkins
13074,Oswego
13076,Oswego
13077,Cortland
13078,Onondaga
13080,Onondaga
13081,Cayuga
13082,Onondaga
13083,Oswego
13084,Onondaga
13087,Cortland
13088,Onondaga
13089,Onondaga
13090,Onondaga
13092,Tompkins
13093,Oswego
13101,Cortland
13102,Tompkins
13103,Oswego
13104,Onondaga
13107,Oswego
13108,Onondaga
13110,Onondaga
13111,Cayuga
13112,Onondaga
13113,Cayuga
13114,Oswego
13115,Oswego
13116,Onondaga
13117,Cayuga
13118,Cayuga
13119,Onondaga
13120,Onondaga
13121,Oswego
13122,Madison
13123,Oneida
13124,Chenango
13126,Oswego
13131,Oswego
13132,Oswego
13134,Madison
13135,Oswego
13136,Chenango
13137,Onondaga
13138,Onondaga
13139,Cayuga
13140,Cayuga
13141,Cortland
13142,Oswego
13143,Wayne
13144,Oswego
13145,Oswego
13146,Wayne
13147,Cayuga
13148,Seneca
13152,Onondaga
13153,Onondaga
13154,Wayne
13155,Chenango
13156,Cayuga
13157,Oneida
13158,Cortland
13159,Onondaga
13160,Cayuga
13162,Oneida
13163,Madison
13164,Onondaga
13165,Seneca
13166,Cayuga
13167,Oswego
13201,Onondaga
13202,Onondaga
13203,Onondaga
13204,Onondaga
13205,Onondaga
13206,Onondaga
13207,Onondaga
13208,Onondaga
13209,Onondaga
13210,Onondaga
13211,Onondaga
13212,Onondaga
13214,Onondaga
13215,Onondaga
13217,Onondaga
13218,Onondaga
13219,Onondaga
13220,Onondaga
13221,Onondaga
13224,Onondaga
13225,Onondaga
13235,Onondaga
13244,Onondaga
13250,Onondaga
13251,Onondaga
13252,Onondaga
13261,Onondaga
13290,Onondaga
13301,Oneida
13302,Oswego
13303,Oneida
13304,Oneida
13305,Lewis
13308,Oneida
13309,Oneida
13310,Madison
13312,Lewis
13313,Oneida
13314,Madison
13315,Otsego
13316,Oneida
13317,Montgomery
13318,Oneida
13319,Oneida
13320,Montgomery
13321,Oneida
13322,Oneida
13323,Oneida
13324,Herkimer
13325,Lewis
13326,Otsego
13327,Lewis
